Date,Open,High,Low,Close,Adj Close,Volume
"May 16, 2025","9,300.00","9,325.00","9,225.00","9,300.00","9,300.00","63,007,500"
"May 15, 2025","9,275.00","9,400.00","9,250.00","9,275.00","9,275.00","101,401,300"
"May 14, 2025","9,250.00","9,300.00","9,150.00","9,275.00","9,275.00","149,002,900"
"May 9, 2025","9,050.00","9,050.00","8,975.00","9,000.00","9,000.00","47,167,500"
"May 8, 2025","9,075.00","9,200.00","8,925.00","8,975.00","8,975.00","99,614,500"
"May 7, 2025","9,075.00","9,100.00","9,000.00","9,075.00","9,075.00","77,382,000"
"May 6, 2025","9,050.00","9,050.00","8,975.00","9,025.00","9,025.00","48,860,500"
"May 5, 2025","9,000.00","9,050.00","8,975.00","8,975.00","8,975.00","86,385,600"
"May 2, 2025","9,000.00","9,000.00","8,850.00","8,975.00","8,975.00","92,219,000"
"Apr 30, 2025","8,800.00","8,925.00","8,675.00","8,825.00","8,825.00","164,597,500"
"Apr 29, 2025","8,800.00","8,825.00","8,700.00","8,725.00","8,725.00","60,315,700"
"Apr 28, 2025","8,750.00","8,775.00","8,650.00","8,775.00","8,775.00","73,235,400"
"Apr 25, 2025","8,650.00","8,650.00","8,575.00","8,600.00","8,600.00","58,297,000"
"Apr 24, 2025","8,850.00","8,850.00","8,475.00","8,475.00","8,475.00","143,675,300"
"Apr 23, 2025","8,550.00","8,725.00","8,550.00","8,725.00","8,725.00","92,329,600"
"Apr 22, 2025","8,325.00","8,500.00","8,325.00","8,500.00","8,500.00","56,537,100"
"Apr 21, 2025","8,500.00","8,500.00","8,300.00","8,300.00","8,300.00","40,683,800"
"Apr 17, 2025","8,450.00","8,500.00","8,350.00","8,500.00","8,500.00","83,540,600"
"Apr 16, 2025","8,500.00","8,550.00","8,425.00","8,475.00","8,475.00","76,874,900"
"Apr 15, 2025","8,575.00","8,600.00","8,450.00","8,575.00","8,575.00","83,431,800"
"Apr 14, 2025","8,250.00","8,400.00","8,250.00","8,400.00","8,400.00","83,319,300"
"Apr 11, 2025","8,200.00","8,325.00","8,050.00","8,275.00","8,275.00","82,603,000"
"Apr 10, 2025","8,500.00","8,650.00","8,175.00","8,225.00","8,225.00","144,148,600"
"Apr 9, 2025","7,700.00","7,950.00","7,675.00","7,925.00","7,925.00","136,753,900"
"Apr 8, 2025","7,400.00","8,000.00","7,275.00","7,775.00","7,775.00","533,073,600"
"Mar 27, 2025","8,425.00","8,575.00","8,375.00","8,500.00","8,500.00","122,943,900"
